fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o
"30",142,Hull,"1","0",81.2814264475629,"1","1929","901","1028","229","1286","414","1810","17","10","20","0","5","31","36","450","276","97","49","14","9","5","631","548","72","9","2","0","0","0","1059","0","31","27","55","7","85","34","29","31","51","100","236","70","122","76","105"
"31",48,Burlington,"1","0",89.9046508368596,"1","1080","517","563","145","839","96","767","52","0","181","0","5","27","48","267","156","68","30","11","2","0","304","232","71","1","0","0","0","0","797","87","10","21","27","11","10","50","11","9","12","50","159","54","88","82","116"
"32",170,Marlborough,"1","0",0,"1","38535","19080","19455","8330","25361","4844","28983","982","52","1929","16","1383","1013","4177","9685","3935","2420","2065","823","268","174","5725","4413","1106","121","51","23","6","5","15718","421","381","547","560","533","529","622","589","679","1033","1565","2005","2010","1158","1643","1443"
"33",243,Quincy,"1","0",40.9768195693939,"1","58499","28012","30487","8800","40873","8826","34911","3335","95","15945","12","619","1209","2373","12481","5458","3258","2221","902","379","263","14930","11822","2619","356","89","30","5","9","26330","1674","1492","1269","1251","1009","945","578","872","865","1978","2481","3655","3133","1562","2045","1521"
"34",92,Essex,"1","0",0.148950953145011,"1","3318","1663","1655","780","2074","464","3190","9","0","32","1","3","37","46","870","354","194","207","69","35","11","461","375","78","7","1","0","0","0","1430","63","39","22","18","36","12","66","48","51","89","97","40","286","97","136","330"
"35",171,Marshfield,"1","0",0,"1","25058","12197","12861","6284","15390","3384","24064","107","35","173","4","130","230","315","6860","2691","1602","1582","714","214","57","2634","2139","452","26","13","4","0","0","9545","514","280","301","209","191","389","172","316","326","491","665","1028","1079","949","1524","1111"
"36",10,Arlington,"1","0",66.8365256219994,"1","20733","9562","11171","3570","14067","3096","16464","663","18","2175","5","82","471","855","4799","2291","1273","920","228","56","31","5535","4414","976","98","34","8","4","1","9552","383","259","254","286","270","242","319","173","322","552","595","1280","1060","858","1228","1471"
"37",119,Hamilton,"1","0",0,"1","7772","3819","3953","2106","4721","945","7095","42","12","421","0","5","76","121","2171","784","534","548","233","59","13","524","422","88","9","4","0","1","0","2658","170","44","87","57","47","140","30","47","34","115","142","242","132","242","439","690"
"38",101,Franklin,"1","0",0,"1","31294","15356","15938","8970","19408","2916","28658","409","18","1149","4","45","404","607","8150","2619","1932","2303","954","233","109","2660","2194","421","37","7","1","0","0","11655","230","328","225","202","339","256","262","206","183","575","742","1458","1315","1133","1721","2480"
"39",189,Milton,"1","0",98.1117177171913,"1","528","178","350","12","36","480","501","16","0","2","1","0","4","4","130","119","6","4","1","0","0","245","239","6","0","0","0","0","0","254","0","14","0","0","12","11","43","15","12","0","33","26","23","0","12","53"
"40",131,Hingham,"1","0",0,"1","21736","10208","11528","5941","11478","4317","20764","99","31","321","8","36","242","235","5869","2381","1176","1327","740","197","48","2381","2164","196","10","9","0","2","0","8743","309","185","265","234","247","209","218","178","184","372","523","524","724","569","1000","3002"
"41",168,Marblehead,"1","0",88.4360937594057,"1","4528","2010","2518","839","2850","839","4225","61","6","47","0","10","48","131","1089","572","242","200","59","12","4","1300","1152","138","7","2","1","0","0","1965","103","110","45","34","39","52","39","132","85","105","137","222","164","150","88","460"
"42",14,Ashland,"1","0",85.0623965152113,"1","4719","2225","2494","842","3245","632","3670","114","10","505","0","94","74","252","1210","577","331","215","56","23","8","1003","816","160","17","6","3","0","1","1180","33","27","34","28","0","0","41","14","0","48","174","167","158","121","258","77"
"43",133,Holbrook,"1","0",0,"1","10701","5211","5490","2355","6773","1573","8643","912","22","304","2","108","236","474","2815","1029","741","614","257","113","61","1255","1031","206","13","4","0","1","0","4122","97","126","84","193","122","207","217","204","109","275","590","396","631","322","280","269"
"44",298,Topsfield,"1","0",98.9609131510746,"1","60","34","26","20","39","1","60","0","0","0","0","0","0","0","15","4","4","4","2","1","0","8","8","0","0","0","0","0","0","259","0","0","0","29","0","0","15","0","14","16","13","15","0","30","32","95"
"45",251,Rockland,"1","0",54.1779845738064,"1","11077","5339","5738","2402","7257","1418","9991","275","18","125","4","248","196","220","2788","1057","715","601","259","109","47","1433","1102","275","39","13","3","1","0","4234","140","118","181","30","183","255","114","184","177","342","323","392","797","264","409","325"
"46",220,Norwood,"1","0",57.1573679007298,"1","16880","8089","8791","3387","10993","2500","13169","1116","29","1178","2","157","297","932","4012","1645","1100","826","287","112","42","3444","2726","620","68","17","8","4","1","6571","347","327","264","342","96","155","104","265","255","346","741","1028","872","513","465","451"
"47",157,Lincoln,"1","0",97.4919036334278,"1","336","151","185","29","153","154","304","1","2","20","0","3","4","2","101","80","13","6","2","0","0","95","87","8","0","0","0","0","0","340","0","0","0","0","0","0","15","0","0","12","42","61","25","0","23","162"
"48",155,Lexington,"1","0",51.7782625815056,"1","18820","8929","9891","4978","10522","3320","14507","219","9","3215","1","42","430","397","5303","2026","1314","1322","485","117","39","1579","1400","156","14","5","3","1","0","6817","175","62","192","77","83","103","156","63","62","252","312","457","496","407","902","3018"
"49",184,Middleton,"1","0",23.7871795618028,"1","8656","4848","3808","1809","5657","1190","7528","153","13","192","0","15","118","637","2000","769","409","510","232","58","22","802","666","121","8","5","1","0","1","2539","71","57","15","146","17","33","109","17","28","151","163","510","330","206","210","476"
"50",158,Littleton,"1","0",0,"1","8922","4289","4633","2343","5334","1245","8237","46","6","350","0","12","150","121","2408","900","585","603","224","73","23","888","724","141","18","2","0","2","1","3559","64","94","91","145","84","61","117","61","92","152","244","256","439","321","492","846"
"51",164,Lynnfield,"1","0",0,"1","11602","5662","5940","2938","6617","2047","10843","48","5","379","0","30","95","202","3269","1253","726","791","368","100","31","912","784","111","10","5","2","0","0","4496","70","34","92","90","120","87","74","97","67","255","338","403","412","409","734","1214"
"52",175,Medfield,"1","0",0,"1","12024","5828","6196","3763","6889","1372","11293","72","8","325","0","15","131","180","3333","1107","742","915","438","107","24","784","698","80","4","1","1","0","0","4153","119","92","63","91","70","37","61","63","66","144","191","306","286","375","628","1561"
"53",165,Malden,"1","0",0,"1","59932","29010","30922","11757","41155","7020","31513","8509","76","12011","14","1256","1536","5017","14444","5400","3812","2909","1401","551","371","9468","7189","1718","373","145","34","5","4","22996","2008","1540","735","728","902","1058","759","1042","902","1136","2569","3021","2342","1346","1715","1193"
"54",178,Melrose,"1","0",28.8664567790849,"1","23154","10846","12308","5011","14427","3716","20670","595","10","839","1","99","359","581","6005","2449","1552","1348","488","119","49","3804","3237","531","24","9","3","0","0","9763","314","321","255","531","246","356","251","335","202","605","670","945","975","908","1495","1354"
